Parameters,Cumulative Return,Cumulative Long Return,Cumulative Short Return,Maximum Drawdown,Average Size
"(1, 0, 5, 7, 2)",0.8349206876744184,,,-0.0566659330106518,16.68
"(1, 0, 5, 7, 3)",0.8164847167423186,,,-0.0490140286952441,17.13
"(1, 0, 5, 7, 4)",0.9491380243160168,,,-0.0512356337751768,17.3
"(1, 0, 5, 8, 2)",1.081066919292344,,,-0.0585056707358557,14.49
"(1, 0, 5, 8, 3)",0.8561464604042281,,,-0.0492433354425587,14.97
"(1, 0, 5, 8, 4)",1.0043199945983514,,,-0.0522484641724439,15.38
"(1, 0, 5, 9, 2)",0.9868528062040204,,,-0.0553772449842128,13.28
"(1, 0, 5, 9, 3)",0.7831507366847046,,,-0.0556938648588914,13.62
"(1, 0, 5, 9, 4)",0.8081817449291726,,,-0.0552770962253314,14.07
"(1, 0, 5, 10, 2)",1.4129653929820178,,,-0.0530118983771013,12.17
"(1, 0, 5, 10, 3)",1.2926071898499378,,,-0.0527432128805072,12.61
"(1, 0, 5, 10, 4)",1.1127722215168934,,,-0.0521450828931346,13.15
"(1, 0, 5, 11, 2)",0.9666420858581076,,,-0.0585056707358556,11.01
"(1, 0, 5, 11, 3)",0.9742507433045776,,,-0.0564445301547376,11.43
"(1, 0, 5, 11, 4)",1.009041565937582,,,-0.0622167570898269,12.02
"(1, 0, 10, 7, 2)",0.9088994945629212,,,-0.0500440797399157,22.54
"(1, 0, 10, 7, 3)",0.9715572991088736,,,-0.0504359185979666,22.71
"(1, 0, 10, 7, 4)",0.8998089674918217,,,-0.0525415595304367,22.76
"(1, 0, 10, 8, 2)",0.952576162678772,,,-0.0506344139127579,20.74
"(1, 0, 10, 8, 3)",1.0476557652155152,,,-0.050309779510075,20.91
"(1, 0, 10, 8, 4)",0.9674705466638296,,,-0.0484545028240931,20.9
"(1, 0, 10, 9, 2)",0.8859014634966409,,,-0.0528491298441268,19.45
"(1, 0, 10, 9, 3)",0.8508900644510895,,,-0.0521980351544539,19.72
"(1, 0, 10, 9, 4)",0.7447095638861851,,,-0.0521545362889567,20.0
"(1, 0, 10, 10, 2)",0.935973368408956,,,-0.0549248522862316,18.5
"(1, 0, 10, 10, 3)",0.92911159606028,,,-0.0527109066441183,18.68
"(1, 0, 10, 10, 4)",0.7628164217402016,,,-0.0530781934540187,19.11
"(1, 0, 10, 11, 2)",1.0176779654453538,,,-0.0585458280985786,17.61
"(1, 0, 10, 11, 3)",1.034200861149853,,,-0.0561514721885224,17.96
"(1, 0, 10, 11, 4)",0.9111657109316365,,,-0.0553549141489023,18.31
"(1, 0, 15, 7, 2)",0.7769239209611407,,,-0.0525102413771898,25.29
"(1, 0, 15, 7, 3)",0.8923293547799815,,,-0.0508535154565552,25.58
"(1, 0, 15, 7, 4)",0.8772892364947966,,,-0.0509521177672449,25.52
"(1, 0, 15, 8, 2)",0.8838839846399102,,,-0.0534953429579145,23.46
"(1, 0, 15, 8, 3)",0.9347822550999528,,,-0.0503093466538915,23.81
"(1, 0, 15, 8, 4)",0.8870155825715078,,,-0.0503093466538917,23.96
"(1, 0, 15, 9, 2)",0.8509146352137436,,,-0.0531960911936237,22.52
"(1, 0, 15, 9, 3)",0.7636467337285524,,,-0.0543145064175281,22.79
"(1, 0, 15, 9, 4)",0.7006794946446133,,,-0.0541301188994927,23.01
"(1, 0, 15, 10, 2)",0.8829669570155494,,,-0.0530029867378197,21.55
"(1, 0, 15, 10, 3)",0.8730929210653864,,,-0.0519249487370571,21.81
"(1, 0, 15, 10, 4)",0.8246299724072665,,,-0.0514074968967977,22.19
"(1, 0, 15, 11, 2)",0.9080811262225024,,,-0.055952211023501,20.98
"(1, 0, 15, 11, 3)",0.8730889952720242,,,-0.0534648478267668,21.39
"(1, 0, 15, 11, 4)",0.898300749071969,,,-0.0529641870624636,21.39
"(1, 0, 20, 7, 2)",0.8652280078363901,,,-0.0537561775826015,27.4
"(1, 0, 20, 7, 3)",0.9240604064161216,,,-0.0521302809724836,27.4
"(1, 0, 20, 7, 4)",0.8393608805163053,,,-0.05010879589574,27.53
"(1, 0, 20, 8, 2)",0.8491393720013267,,,-0.0537561775826015,25.67
"(1, 0, 20, 8, 3)",0.7964787359872898,,,-0.0513140823322618,26.08
"(1, 0, 20, 8, 4)",0.8280929477600534,,,-0.051251961198259,26.21
"(1, 0, 20, 9, 2)",0.8064958753587412,,,-0.0526457948724061,24.64
"(1, 0, 20, 9, 3)",0.7478923834735676,,,-0.0519796628022661,25.12
"(1, 0, 20, 9, 4)",0.7162267037384538,,,-0.0531937262088868,25.19
"(1, 0, 20, 10, 2)",0.8353932801896518,,,-0.0524458006514994,24.18
"(1, 0, 20, 10, 3)",0.756694660055927,,,-0.0515345027878984,24.26
"(1, 0, 20, 10, 4)",0.8013141576741427,,,-0.0505593709199389,24.58
"(1, 0, 20, 11, 2)",0.8221453852786063,,,-0.0562166089797969,23.27
"(1, 0, 20, 11, 3)",0.755080847801636,,,-0.054136965158474,23.69
"(1, 0, 20, 11, 4)",0.7362015166945497,,,-0.052581919337732,23.77
