Parameters,Cumulative Return,Cumulative Long Return,Cumulative Short Return,Maximum Drawdown,Average Size
"(1, 1, 5, 7, 2)",1.1046866770616814,1.27858118224787,-0.026548651856562,-0.0503734080637182,15.67
"(1, 1, 5, 7, 3)",1.0788212377244912,1.2548105485191847,-0.0574236980404363,-0.0503734080637182,16.12
"(1, 1, 5, 7, 4)",1.0773072384546354,1.2519594052426446,-0.0531447713714489,-0.0489122258547706,16.51
"(1, 1, 5, 8, 2)",1.083095238291309,1.2744338976131595,-0.1172377403971505,-0.050373408063718,15.23
"(1, 1, 5, 8, 3)",1.136505248450718,1.2584562228870575,0.2148592964402498,-0.0503734080637181,15.52
"(1, 1, 5, 8, 4)",1.1138115787116298,1.246787313228324,0.1488253879538483,-0.0503734080637182,15.77
"(1, 1, 5, 9, 2)",1.0877694665266664,1.2700580618888937,-0.0834117546341066,-0.0503734080637181,14.96
"(1, 1, 5, 9, 3)",1.0969478277135545,1.263681492335516,-0.0160233199125097,-0.0503734080637182,15.11
"(1, 1, 5, 9, 4)",1.1124255924903117,1.23736860308684,0.1789418667806597,-0.0503734080637183,15.37
"(1, 1, 5, 10, 2)",1.0654028544188368,1.2577907253500369,-0.1299908498154266,-0.0503734080637179,14.68
"(1, 1, 5, 10, 3)",1.0813431092391466,1.2665058866899463,-0.0971745870291219,-0.0503734080637182,14.87
"(1, 1, 5, 10, 4)",1.09041195307017,1.2451179967072936,0.0262750160175191,-0.0503734080637182,15.15
"(1, 1, 5, 11, 2)",1.0604239266975388,1.2898944815961435,-0.2600499221900119,-0.0503734080637181,14.52
"(1, 1, 5, 11, 3)",1.0977871388806015,1.2897050884329435,-0.1085408429384247,-0.0503734080637181,14.65
"(1, 1, 5, 11, 4)",1.0774144725564767,1.2698214711663125,-0.1256889274628551,-0.050373408063718,14.9
"(1, 1, 10, 7, 2)",1.0385918106271408,1.229402802755592,-0.1397150558140554,-0.0503734080637181,17.32
"(1, 1, 10, 7, 3)",1.0487501673414066,1.2336434963529164,-0.110265730528437,-0.0489122258547707,17.9
"(1, 1, 10, 7, 4)",1.0744158021143098,1.2399770273067303,-0.0203703395274983,-0.0489122258547706,18.34
"(1, 1, 10, 8, 2)",1.0471794707886355,1.2290193959643756,-0.1024353427689533,-0.0503734080637183,16.63
"(1, 1, 10, 8, 3)",1.0652131949015389,1.23562906868686,-0.0450637477960615,-0.0489122258547704,17.17
"(1, 1, 10, 8, 4)",1.0534766786364689,1.2252417979509935,-0.0588723092570551,-0.0489122258547703,17.56
"(1, 1, 10, 9, 2)",1.064224490900799,1.2439780410137082,-0.0868065781386641,-0.0503734080637181,16.12
"(1, 1, 10, 9, 3)",1.071767708087259,1.222033789098519,0.037941722795926,-0.0503734080637182,16.79
"(1, 1, 10, 9, 4)",1.094777623175097,1.236049963723166,0.1005290421986593,-0.0489122258547704,17.16
"(1, 1, 10, 10, 2)",1.030497903012538,1.2464682419226216,-0.2382833075311737,-0.0503734080637184,15.87
"(1, 1, 10, 10, 3)",1.0616160344918717,1.2213320933449865,-0.0112081657298341,-0.0503734080637179,16.34
"(1, 1, 10, 10, 4)",1.096504167414127,1.230763216381796,0.1306830356749737,-0.0489122258547708,16.78
"(1, 1, 10, 11, 2)",1.0273750917041764,1.2536284556486683,-0.2785942264711075,-0.050373408063718,15.55
"(1, 1, 10, 11, 3)",1.0628847643443042,1.2345345777878318,-0.0631380932048704,-0.050373408063718,16.02
"(1, 1, 10, 11, 4)",1.0915584966366343,1.2386334974953526,0.0671692442129603,-0.0489122258547706,16.57
"(1, 1, 15, 7, 2)",1.0431940256249326,1.2169267137506954,-0.0747802780469506,-0.0503734080637182,18.46
"(1, 1, 15, 7, 3)",1.0687606797116946,1.2254571508166876,0.0118196905341507,-0.0448878056110794,19.12
"(1, 1, 15, 7, 4)",1.0656188213337383,1.2254571508166805,-0.007370445461034,-0.0448878056110794,19.69
"(1, 1, 15, 8, 2)",1.0430899567165417,1.2244148437992952,-0.1033030113199814,-0.0503734080637181,17.61
"(1, 1, 15, 8, 3)",1.0874631612076031,1.227435445990587,0.0977339360668898,-0.0448878056110792,18.31
"(1, 1, 15, 8, 4)",1.0645382232337908,1.223141653184391,-0.0026554385965898,-0.0448878056110798,18.75
"(1, 1, 15, 9, 2)",1.0686939054825952,1.2229061240496546,0.0173297726989698,-0.050373408063718,17.06
"(1, 1, 15, 9, 3)",1.0865632487466357,1.2306888171651882,0.0806237349535279,-0.0489122258547706,17.79
"(1, 1, 15, 9, 4)",1.073864933259475,1.22743544599058,0.0283885566550996,-0.0458057709118878,18.23
"(1, 1, 15, 10, 2)",1.0610659232377355,1.2267229999081408,-0.03464285513897,-0.0503734080637183,16.73
"(1, 1, 15, 10, 3)",1.083183580444921,1.2306888171651873,0.0630243271572825,-0.0489122258547706,17.5
"(1, 1, 15, 10, 4)",1.0942584265286657,1.2294771903386703,0.122356268574042,-0.0458057709118878,17.88
"(1, 1, 15, 11, 2)",1.042109988441034,1.2390883951224625,-0.1704297673339038,-0.050373408063718,16.44
"(1, 1, 15, 11, 3)",1.081835633429307,1.2250010502776316,0.0755445583547103,-0.0503734080637183,17.15
"(1, 1, 15, 11, 4)",1.0963961404064313,1.2324543912926154,0.1187193666672559,-0.0458057709118878,17.65
"(1, 1, 20, 7, 2)",1.0520167354442056,1.2268181541183791,-0.0719594184966674,-0.0459820504321166,19.27
"(1, 1, 20, 7, 3)",1.0691349525474303,1.2231416531843942,0.0230126407555768,-0.0448878056110793,19.96
"(1, 1, 20, 7, 4)",1.0437921975920523,1.2231416531843895,-0.1010500696885682,-0.0429797041101394,20.73
"(1, 1, 20, 8, 2)",1.0732493293875751,1.2283432394329408,0.0203003081756187,-0.0428755954892338,18.47
"(1, 1, 20, 8, 3)",1.070950417902278,1.2214259718391327,0.0411090274701593,-0.0448878056110793,19.18
"(1, 1, 20, 8, 4)",1.040373281543758,1.223141653184391,-0.1133832668091748,-0.0448878056110795,19.75
"(1, 1, 20, 9, 2)",1.043531724191304,1.2143470177500508,-0.0646253087493815,-0.0503734080637182,17.91
"(1, 1, 20, 9, 3)",1.0793415730795868,1.2217646697312747,0.0829368933329284,-0.0458057709118877,18.73
"(1, 1, 20, 9, 4)",1.0565631542373923,1.2251178900226374,-0.0462820215361534,-0.0458057709118875,19.14
"(1, 1, 20, 10, 2)",1.067783994587416,1.2209318515897505,0.0246554331543262,-0.0503734080637181,17.54
"(1, 1, 20, 10, 3)",1.082500319580356,1.2217646697312745,0.0956951120060471,-0.0458057709118877,18.25
"(1, 1, 20, 10, 4)",1.0619184674226334,1.2214259718391296,-0.0071424992780222,-0.0458057709118878,18.78
"(1, 1, 20, 11, 2)",1.0598960777976432,1.229758221336303,-0.0550482731871123,-0.050373408063718,17.15
"(1, 1, 20, 11, 3)",1.0890197728862754,1.2304716385460988,0.09069087850334,-0.0489122258547703,17.95
"(1, 1, 20, 11, 4)",1.094333569497533,1.230131613316264,0.1218669852475289,-0.0458057709118878,18.53
"(1, 2, 5, 7, 2)",0.9978390378678984,1.3603868850509238,-0.0265486518565611,-0.0503734080637182,15.67
"(1, 2, 5, 7, 3)",0.9488551825999804,1.3054334390370137,-0.0574236980404353,-0.0503734080637181,16.12
"(1, 2, 5, 7, 4)",0.9459667840936564,1.29899370485647,-0.0531447713714494,-0.047451043645823,16.51
"(1, 2, 5, 8, 2)",0.9565878137009618,1.3507435888774455,-0.1172377403971511,-0.0503734080637181,15.23
"(1, 2, 5, 8, 3)",1.0582897374925513,1.3137789533224873,0.2148592964402498,-0.0503734080637181,15.52
"(1, 2, 5, 8, 4)",1.014992968272998,1.2869566684489206,0.1488253879538494,-0.050373408063718,15.77
"(1, 2, 5, 9, 2)",0.965328349741408,1.3404989699381438,-0.083411754634107,-0.0503734080637182,14.96
"(1, 2, 5, 9, 3)",0.9826794589262008,1.3258013581443395,-0.0160233199125097,-0.0503734080637181,15.11
"(1, 2, 5, 9, 4)",1.012079371354246,1.2654739635307029,0.1789418667806581,-0.0503734080637183,15.37
"(1, 2, 5, 10, 2)",0.923763550853148,1.3120622574746903,-0.1299908498154262,-0.0503734080637182,14.68
"(1, 2, 5, 10, 3)",0.953284325968121,1.3323259745145075,-0.0971745870291213,-0.0503734080637179,14.87
"(1, 2, 5, 10, 4)",0.970279915587198,1.2831425874915563,0.0262750160175191,-0.0503734080637181,15.15
"(1, 2, 5, 11, 2)",0.909831455945184,1.3798692376242143,-0.2600499221900126,-0.050373408063718,14.52
"(1, 2, 5, 11, 3)",0.9798965975815368,1.3795501998535693,-0.108540842938424,-0.0503734080637181,14.65
"(1, 2, 5, 11, 4)",0.9415876670667868,1.3333609864793403,-0.1256889274628558,-0.0503734080637183,14.9
"(1, 2, 10, 7, 2)",0.8741995295680391,1.2474747167235547,-0.1397150558140544,-0.0503734080637183,17.32
"(1, 2, 10, 7, 3)",0.8928151544953493,1.2573540898060322,-0.1102657305284373,-0.0474510436458231,17.9
"(1, 2, 10, 7, 4)",0.940424700074732,1.2717538731610865,-0.0203703395274987,-0.047451043645823,18.34
"(1, 2, 10, 8, 2)",0.8899773040159222,1.2465991025379308,-0.1024353427689529,-0.0503734080637182,16.63
"(1, 2, 10, 8, 3)",0.9232953153704024,1.2618690514061734,-0.0450637477960625,-0.0474510436458232,17.17
"(1, 2, 10, 8, 4)",0.9015789149047988,1.2382045980200735,-0.0588723092570554,-0.047451043645823,17.56
"(1, 2, 10, 9, 2)",0.9213155040919035,1.2807141191639024,-0.0868065781386632,-0.0503734080637185,16.12
"(1, 2, 10, 9, 3)",0.9354480407193426,1.2309277014822562,0.0379417227959268,-0.0503734080637182,16.79
"(1, 2, 10, 9, 4)",0.9788207925788852,1.2628119157339044,0.1005290421986591,-0.0474510436458229,17.16
"(1, 2, 10, 10, 2)",0.8587770121280596,1.2864150368172842,-0.2382833075311732,-0.0503734080637183,15.87
"(1, 2, 10, 10, 3)",0.9164408747724668,1.2293344914158908,-0.0112081657298366,-0.0503734080637182,16.34
"(1, 2, 10, 10, 4)",0.9819842845556024,1.2507743678635088,0.1306830356749735,-0.0474510436458233,16.78
"(1, 2, 10, 11, 2)",0.8484847168454628,1.2963736034068778,-0.2785942264711077,-0.050373408063718,15.55
